
 ============ ============== ======== ========= ========== =========== ======== ================= 
  First Name    Last Name     Health   Agility   Charisma   Knowledge   Energy   Resourcefulness  
 ============ ============== ======== ========= ========== =========== ======== ================= 
  Alis         Reeson              2         5          5           8        7                10  
  Gerri        Bielfelt            8         9          3           8        5                 9  
  Wolfie       Appleby             5         1          2           7        2                 1  
  Krishnah     Minker              1         7          7          10        6                 5  
  Cassondra    Peizer              9         8          8           2        6                 4  
  Jamie        Aston              10         7          4           1        5                 9  
  Hester       Ditty               7         5          4           4        9                 8  
  Shay         Sheardown          10         8          6           3        2                10  
  Philomena    Ellesworth          1         4          4           6        2                 2  
  Ruby         Hanlon              4        10          3          10        3                 4  
  Andy         Swane               8         8          6           4       10                 8  
  Estell       McWhin              7         4          7           9        8                 9  
  Ophelie      Burrus              1        10          2           8        5                 4  
  Eddy         Warne               6         6          1          10        7                 9  
  Orelie       Roslen              3         4          9           5        4                 3  
  Colby        Dragoe              5        10          8           2        8                 1  
  Boyce        Valentine           1         1          2           3        5                 4  
  Vonnie       Crabb               3         4         10           2        5                 7  
  Adelice      Tampen              6         1          1           5        9                 1  
  Taber        Haile               9         7         10           8        1                 9  
  Tootsie      Shaxby              4         4          5           5        8                 9  
  Colene       Vanyatin            8         8          4           5        2                10  
  Herold       Oleszkiewicz       10         6          2           2        4                 9  
  Honey        Huddleston          1         9          8           1        7                 9  
  Reginauld    Khomich             8        10          2           9        4                 7  
  Angie        Kneath              7         6          5          10        4                 7  
  Paulo        Hurch               3         3          7           7        9                 4  
  Marin        Everit              1         4         10          10        6                 6  
  Malva        Shreeve            10         9          3           5        7                10  
  Rafe         Cheng               5         3          2          10        1                 2  
  Prentice     McNae               1         6          3           9        7                 5  
  Chrisse      Heggie              9         3          2           4        6                 9  
  Morganne     Dunseith            3         8         10           8       10                 5  
  Devondra     Madrell             5         9          2           7        5                 3  
  Zach         Taffarello          4         9          3           8        5                 5  
  Crysta       Haney               8         5          6           3        2                 8  
  Eadith       Gaddes              7         2          9           4        4                 3  
  Gerri        Cicculi             7         6          9           3        5                 9  
  Ogden        Clynmans            1         2          4           4        7                 8  
  Tedi         Wittey             10         4          5           1        1                10  
  Phyllis      Dana                8         2          6           4       10                 8  
  Agustin      Warwicker           6         1          8           8        1                10  
  Florinda     Vennings            3         4          1           3       10                 3  
  Pascale      Pavolillo           4         4          2           8        5                 5  
  Fulton       Magner              8         3          4           8        3                10  
  Stacy        Bollen              9         2          5           6        3                 5  
  Neville      Zieme              10         4         10          10        5                 2  
  Donetta      McMurthy            2         9          3           2        9                 5  
  Aguste       Mongin              8         8          1           9        2                 3  
  Kellyann     Kiely               6         3          2           6        9                 7  
  Bradney      Allsep              7         7          5           3        2                 6  
  Adrian       Noon                5        10          3           8        3                 5  
  Gard         Sylett              3         7          7           3        8                 1  
  Angie        Drews               1         9          4           1       10                 7  
  Angelica     Ickovici            4         2          1           6        3                 2  
  Pierson      Sevier             10         9          3           7        5                 3  
  Thatcher     Bynold              2         7          8           5        1                 2  
  Saunder      Critzen             4         5          7           9        3                 1  
  Randolf      Raybould           10        10          3           6        6                 9  
  Patrizia     Henzley             5         7          6           7       10                10  
  Alberto      Johanssen           4         3          1          10        7                 8  
  Lucas        Trebilcock          6         5          6           9        7                 3  
  Si           Grima               8         5          2           1        6                 9  
  Cathryn      Mintoff             7         6         10           6        9                 4  
  Constanta    Rolfs              10         6          5           8        9                10  
  Marje        Weston             10         5          6           4        6                 2  
  Eddi         Alsobrook           9         6          9           9        4                 8  
